ticker,date,time,headline,neg,neu,pos,compound
AMZN,2020-05-16,02:32PM,How the coronavirus recession has rewritten the traditional bear-market playbook,0.237,0.763,0.0,-0.4215
AMZN,2020-05-16,01:47PM,Whats happened to value stocks?,0.0,0.625,0.375,0.34
AMZN,2020-05-16,01:45PM,3 Reasons Target Is a Buy,0.0,1.0,0.0,0.0
AMZN,2020-05-16,01:27PM,What Disney's $75 million bet on 'Hamilton' means for streaming wars,0.265,0.735,0.0,-0.5574
AMZN,2020-05-16,01:00PM,Why Amazon's E-Commerce Sales Are About to Surge Even Higher,0.0,1.0,0.0,0.0
AMZN,2020-05-16,12:33PM,Amazon Promises to Work With Congress But Not Offering Bezos,0.0,0.65,0.35,0.5106
AMZN,2020-05-16,12:25PM,Walmart Earnings: What to Watch,0.0,1.0,0.0,0.0
AMZN,2020-05-16,11:54AM,"Luckin Coffee shows how risky Chinese IPOs can be, but investors are just not listening",0.091,0.909,0.0,-0.1027
AMZN,2020-05-16,11:15AM,3 Stocks Immune to the Coronavirus,0.0,0.645,0.355,0.296
AMZN,2020-05-16,11:11AM,The $4.8 Billion Reason Nobody Wants to Buy AMC Entertainment Just Yet,0.0,0.797,0.203,0.4215
AMZN,2020-05-16,10:05AM,"If you could buy only one ecommerce stock, this would be it  and its not Amazon",0.092,0.908,0.0,-0.1326
AMZN,2020-05-16,09:22AM,"Justice Department, state attorneys general poised to hit Google with antitrust lawsuits: report",0.094,0.588,0.318,0.5859
AMZN,2020-05-16,08:42AM,China risk has reemerged in the U.S. stock market  heres how events may play out,0.12,0.743,0.137,0.0772
AMZN,2020-05-15,11:57PM,"Amazon says 'appropriate' executive to be available, as U.S. panel calls on Bezos to testify",0.0,0.892,0.108,0.1779
AMZN,2020-05-15,11:45PM,Amazon pledges to work with Congress on antitrust concerns,0.0,0.825,0.175,0.1779
AMZN,2020-05-15,09:46PM,"Amazon says 'appropriate' executive to be available, as U.S. panel calls on Bezos to testify",0.0,0.892,0.108,0.1779
AMZN,2020-05-15,09:36PM,Amazon says 'appropriate' exec available after U.S. House panel calls on CEO Bezos to testify,0.0,0.892,0.108,0.1779
AMZN,2020-05-15,08:45PM,The S&P 500 Was Stopped in Its Tracks Last Week. Heres Why Another Drop Could Be in the Offing.,0.19,0.81,0.0,-0.4588
AMZN,2020-05-15,08:15PM,Can Amazon Solve the Covid-19 Testing Challenge?,0.0,0.455,0.545,0.4215
AMZN,2020-05-15,07:29PM,J.C. Penney files for bankruptcy and its survival couldn't be more uncertain,0.0,0.839,0.161,0.2743
TSLA,2020-05-19,07:47PM,"Dow Jones Futures Turn Higher; Alibaba, Facebook, Netflix Above New Buy Points In Stock Market Rally",0.0,1.0,0.0,0.0
TSLA,2020-05-19,03:55PM,General Motors Races Tesla to Build a Million-Mile Battery,0.0,1.0,0.0,0.0
TSLA,2020-05-19,03:20PM,"Coronavirus update: U.S. death toll tops 91,000; Trump slams WHO, says hes taking hydroxychloroquine to stave off COVID-19",0.168,0.69,0.142,-0.1531
TSLA,2020-05-19,02:53PM,"Tesla Will Boost Its Full Self-Driving Software Price to $8,000 in July",0.0,0.803,0.197,0.4019
TSLA,2020-05-19,01:31PM,FAANG stocks are totally ignoring the COVID-19 pandemic and are approaching this stunning level,0.166,0.667,0.167,0.0018
TSLA,2020-05-19,12:07PM,GM says it is 'almost there' on million-mile electric vehicle battery,0.0,1.0,0.0,0.0
TSLA,2020-05-19,11:45AM,The Most Valuable Losers,0.405,0.22,0.374,-0.0735
TSLA,2020-05-19,11:38AM,Teslas China Sales Plummeted in April. Heres Why It Doesnt Matter.,0.097,0.903,0.0,-0.0191
TSLA,2020-05-19,09:31AM,"Company News for May 19, 2020",0.0,1.0,0.0,0.0
TSLA,2020-05-19,09:06AM,Tesla's Car Registrations Slumped In China In April,0.0,1.0,0.0,0.0
TSLA,2020-05-19,08:18AM,Dow Jones Futures Pare Losses As Walmart Earnings Offset Home Depot After Vaccine-Led Coronavirus Stock Market Rally,0.144,0.856,0.0,-0.4019
TSLA,2020-05-19,07:00AM,RPT-An easing of coronavirus prevention measures helps China's auto plants rev up,0.0,0.685,0.315,0.5574
